Date,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"2024-05-19","Chris Paddack","MIN",1,5,18,2,0,0,2,2,1,0,0,0,1,0.4,0.4,1,0.5888517498970032,20099
"2024-05-19","Jameson Taillon","CHC",1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.22111518681049347,11674
"2024-05-19","Colin Rea","MIL",1,8,36,3,2,0,4,4,1,2,0,0,1,0.5,0.625,1.333333333,0.7450135052204132,12317
"2024-05-19","Carlos Rodon","NYY",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16137
"2024-05-19","Mitch Keller","PIT",1,3,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333,0,0.23024280865987143,17594
"2024-05-20","Randy Vasquez","SDP",1,7,9,4,0,1,1,1,0,0,0,0,1,0.571428571,0.571428571,0.857142857,0.6071825964110238,24719
"2024-05-20","Ben Lively","CLE",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14932
"2024-05-20","Logan Gilbert","SEA",1,6,18,2,2,0,2,2,0,0,0,1,0,0.4,0.5,0.8,0.5401381254196167,22250
"2024-05-20","Chris Sale","ATL",1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.22111518681049347,10603
"2024-05-20","Dean Kremer","BAL",1,5,0,1,0,0,0,0,0,1,0,0,0,0.25,0.4,0.25,0.3150378346443176,19350
"2024-05-21","Trevor Rogers","MIA",1,5,9,1,1,0,1,1,0,1,0,0,2,0.25,0.4,0.5,0.3900310039520264,22286
"2024-05-21","Yusei Kikuchi","TOR",1,5,0,1,0,0,0,0,0,1,0,0,1,0.25,0.4,0.25,0.3150378346443176,20633
"2024-05-22","Jake Irvin","WSN",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21504
"2024-05-22","Brayan Bello","BOS",1,4,0,0,0,0,0,0,0,1,0,0,1,0,0.25,0,0.17268210649490356,23920
"2024-05-22","Jose Quintana","NYM",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11423
"2024-05-22","Ryan Pepiot","TBR",1,4,0,0,0,0,0,0,0,1,0,0,1,0,0.25,0,0.17268210649490356,26221
"2024-05-22","Blake Snell","SFG",1,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.22111518681049347,13543
"2024-05-23","Joey Estes","OAK",1,6,18,3,3,0,2,2,0,0,0,0,1,0.5,0.5,1,0.6297132968902588,26257
"2024-05-24","Zac Gallen","ARI",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19291
"2024-05-24","Carlos Rodon","NYY",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16137
"2024-05-25","Miles Mikolas","STL",1,3,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333,0,0.23024280865987143,9803
"2024-05-25","Mitch Keller","PIT",1,4,0,1,1,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.3148566484451294,17594
"2024-05-25","Chris Paddack","MIN",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20099
"2024-05-25","Jameson Taillon","CHC",1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.22111518681049347,11674
"2024-05-25","Brady Singer","KCR",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25377
